cigarette_group,n,mean,standard_deviation,median,q1,q3,minimum,maximum
Current cigarette user,2434,66.229,27.572,72.601,46.08,90.827,0.0,99.939
Non-current cigarette user,10003,64.394,27.473,69.596,44.914,88.704,0.0,99.926
